"","code","license","publisher","datasetName","year","month","day","scientificName","family","FID","date","depth","mlotst","to","so","zo","prouct_type","bathy","slope","FID.1","lon","lat"
"1",2,"CC_BY_NC_4_0","iNaturalist.org","iNaturalist research-grade observations",2018,9,18,"Physeter macrocephalus","Physeteridae",0,"2018-09-01",0,20.7999999999997,24.213,36.331,0.369,"Reanalysis",1418.39892578125,1.15668964385986,0,-704.068779726156,4382.12041464126
"2",8,"CC_BY_NC_4_0","iNaturalist.org","iNaturalist research-grade observations",2018,9,18,"Physeter macrocephalus","Physeteridae",0,"2018-09-01",0,21.1999999999998,24.219,36.355,0.363,"Reanalysis",1424.77954101562,1.3343653678894,0,-717.168344246625,4372.71540867391
"3",9,"CC_BY_NC_4_0","iNaturalist.org","iNaturalist research-grade observations",2018,9,5,"Physeter macrocephalus","Physeteridae",0,"2018-09-01",0,21.1999999999998,24.219,36.355,0.363,"Reanalysis",1036.15014648438,1.35397529602051,0,-713.654440828923,4366.45408636958
"4",12,"CC_BY_NC_4_0","iNaturalist.org","iNaturalist research-grade observations",2019,10,21,"Physeter macrocephalus","Physeteridae",0,"2019-10-01",0,27.5,21.532,36.309,0.297,"Reanalysis",1003.62237548828,1.99016106128693,0,-438.508714952734,4248.70325161709
"5",13,"CC_BY_NC_4_0","iNaturalist.org","iNaturalist research-grade observations",2022,4,19,"Physeter macrocephalus","Physeteridae",0,"2022-04-01",0,77.5999999999999,16.185,36.17,0.205,"Reanalysis",635.034851074219,0.58654797077179,0,-674.070996946919,4361.58012451546
"7",23,"CC_BY_NC_4_0","iNaturalist.org","iNaturalist research-grade observations",2021,8,11,"Physeter macrocephalus","Physeteridae",0,"2021-08-01",0,17.2999999999997,22.68,36.012,0.191,"Reanalysis",1946.39147949219,0.921307563781738,0,-750.176566191788,4664.67112571138
"8",25,"CC_BY_NC_4_0","iNaturalist.org","iNaturalist research-grade observations",2018,8,17,"Physeter macrocephalus","Physeteridae",0,"2018-08-01",0,11.0999999999999,24.568,36.369,0.312,"Reanalysis",1424.77954101562,1.3343653678894,0,-714.541953004793,4372.30794692741
"9",28,"CC_BY_NC_4_0","iNaturalist.org","iNaturalist research-grade observations",2018,9,9,"Physeter macrocephalus","Physeteridae",0,"2018-09-01",0,21.1999999999998,24.219,36.355,0.363,"Reanalysis",1424.77954101562,1.3343653678894,0,-715.94622218459,4374.81258618117
"10",38,"CC_BY_NC_4_0","iNaturalist.org","iNaturalist research-grade observations",2015,9,10,"Physeter macrocephalus","Physeteridae",0,"2015-09-01",0,24,23.131,36.279,0.252,"Reanalysis",775.242126464844,2.08802795410156,0,-464.100623973274,4229.10273956477
"11",40,"CC_BY_NC_4_0","iNaturalist.org","iNaturalist research-grade observations",2018,8,24,"Physeter macrocephalus","Physeteridae",0,"2018-08-01",0,11.0999999999999,24.532,36.336,0.313,"Reanalysis",1418.39892578125,1.15668964385986,0,-707.74800313586,4387.26089071235
"12",46,"CC_BY_NC_4_0","iNaturalist.org","iNaturalist research-grade observations",2011,5,30,"Physeter macrocephalus","Physeteridae",0,"2011-05-01",0,28.8999999999996,16.949,36.092,0.157,"Reanalysis",810.66650390625,0.687680184841156,0,-705.532620315111,4349.205158258
"13",59,"CC_BY_NC_4_0","iNaturalist.org","iNaturalist research-grade observations",2017,7,22,"Physeter macrocephalus","Physeteridae",0,"2017-07-01",0,12.6999999999998,22.1,36.117,0.252,"Reanalysis",1081.01684570312,0.813656568527222,0,-667.69709536341,4374.31982213283
"14",177,"CC_BY_4_0","iNaturalist.org","iNaturalist research-grade observations",2021,8,20,"Physeter macrocephalus","Physeteridae",0,"2021-08-01",0,13.2999999999997,23.571,36.358,0.31,"Reanalysis",1015.11608886719,1.01805245876312,0,-688.450737540802,4367.16775012065
"15",180,"CC_BY_NC_4_0","iNaturalist.org","iNaturalist research-grade observations",2011,5,30,"Physeter macrocephalus","Physeteridae",0,"2011-05-01",0,28.8999999999996,16.949,36.092,0.157,"Reanalysis",810.66650390625,0.687680184841156,0,-703.239354142261,4346.57031893848
"16",183,"CC_BY_NC_4_0","Observation.org",NA,2012,8,19,"Physeter macrocephalus","Physeteridae",0,"2012-08-01",0,16.6999999999998,22.786,36.193,0.215,"Reanalysis",689.592163085938,1.0527777671814,0,-419.6992211862,4217.21822570002
"17",184,"CC_BY_NC_4_0","Observation.org",NA,2004,8,21,"Physeter macrocephalus","Physeteridae",0,"2004-08-01",0,17.5999999999999,21.79,36.204,0.288,"Reanalysis",591.688781738281,0.745030701160431,0,-687.060098976027,4340.69868875626
"19",207,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,20,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,14.1999999999998,23.252,36.223,0.269,"Reanalysis",1229.22448730469,1.35414516925812,0,-723.993897825853,4369.20312521097
"20",211,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,17,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,13.6999999999998,23.473,36.252,0.281,"Reanalysis",1590.65795898438,1.31132590770721,0,-742.759924100808,4352.6917373653
"21",213,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,14,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,13.1999999999998,23.114,36.218,0.27,"Reanalysis",1424.77954101562,1.3343653678894,0,-719.447103933029,4375.35696848701
"22",214,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,14.1999999999998,23.252,36.223,0.269,"Reanalysis",1229.22448730469,1.35414516925812,0,-732.053991712103,4369.32041051068
"23",215,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,14.1999999999998,23.252,36.223,0.269,"Reanalysis",1229.22448730469,1.35414516925812,0,-728.022128470991,4366.40038662566
"24",216,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,14.1999999999998,23.252,36.223,0.269,"Reanalysis",1229.22448730469,1.35414516925812,0,-730.476562748349,4367.92872315962
"25",217,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,14.1999999999998,23.252,36.223,0.269,"Reanalysis",1229.22448730469,1.35414516925812,0,-724.342204095913,4366.96975849185
"26",218,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,14.1999999999998,23.252,36.223,0.269,"Reanalysis",1229.22448730469,1.35414516925812,0,-726.971170238341,4367.38012762431
"27",219,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,14.1999999999998,23.252,36.223,0.269,"Reanalysis",1229.22448730469,1.35414516925812,0,-727.14566076758,4366.26340120046
"28",220,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,14.1999999999998,23.252,36.223,0.269,"Reanalysis",1229.22448730469,1.35414516925812,0,-724.516302428493,4365.85306055215
"29",221,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,14,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,13.1999999999998,23.114,36.218,0.27,"Reanalysis",1036.15014648438,1.35397529602051,0,-717.158865266576,4366.99656626645
"30",222,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,14,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,13.1999999999998,23.114,36.218,0.27,"Reanalysis",1424.77954101562,1.3343653678894,0,-718.745608636988,4374.10414560214
"31",223,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,14.1999999999998,23.252,36.223,0.269,"Reanalysis",1229.22448730469,1.35414516925812,0,-729.250327670656,4370.02490075133
"32",224,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,12,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,13.1999999999998,23.114,36.218,0.27,"Reanalysis",1023.13513183594,1.27069485187531,0,-702.835944713146,4378.50210051173
"33",225,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,14.1999999999998,23.252,36.223,0.269,"Reanalysis",1758.40014648438,1.17462265491486,0,-731.703257315381,4371.55392819981
"34",226,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,14.1999999999998,23.252,36.223,0.269,"Reanalysis",1229.22448730469,1.35414516925812,0,-730.126425304608,4370.16222258894
"35",227,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,13.1999999999998,23.114,36.218,0.27,"Reanalysis",1424.77954101562,1.3343653678894,0,-716.812577387589,4369.22976274844
"36",228,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,14.1999999999998,23.252,36.223,0.269,"Reanalysis",1036.15014648438,1.35397529602051,0,-722.060680959262,4364.32696393869
"37",229,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,14.1999999999998,23.252,36.223,0.269,"Reanalysis",1036.15014648438,1.35397529602051,0,-722.234314280857,4363.21027510107
"38",230,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,13.1999999999998,23.114,36.218,0.27,"Reanalysis",1424.77954101562,1.3343653678894,0,-711.397558037624,4375.2509047312
"39",231,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,13.1999999999998,23.114,36.218,0.27,"Reanalysis",1424.77954101562,1.3343653678894,0,-716.119565830342,4373.69604067074
"40",232,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,13.1999999999998,23.114,36.218,0.27,"Reanalysis",1424.77954101562,1.3343653678894,0,-715.244232847104,4373.56021076594
"41",233,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,13.1999999999998,23.114,36.218,0.27,"Reanalysis",1424.77954101562,1.3343653678894,0,-712.445457118684,4374.26984441462
"42",234,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,13.1999999999998,23.114,36.218,0.27,"Reanalysis",1424.77954101562,1.3343653678894,0,-713.320637459797,4374.40537609471
"43",235,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,14.1999999999998,23.252,36.223,0.269,"Reanalysis",1229.22448730469,1.35414516925812,0,-724.690364218034,4364.73635289308
"44",236,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,13.1999999999998,23.114,36.218,0.27,"Reanalysis",1036.15014648438,1.35397529602051,0,-718.900726511328,4361.54923618953
"45",237,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,14.1999999999998,23.252,36.223,0.269,"Reanalysis",1229.22448730469,1.35414516925812,0,-723.110998532073,4363.34662602307
"46",238,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,14.1999999999998,23.252,36.223,0.269,"Reanalysis",1229.22448730469,1.35414516925812,0,-725.392747750288,4365.98973817498
"47",239,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,10,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,11.8999999999996,23.676,36.282,0.279,"Reanalysis",1790.76062011719,0.446492165327072,0,-661.337181172758,4314.08216153983
"48",240,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,10,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.0999999999999,23.335,36.261,0.279,"Reanalysis",1767.798828125,0.85847806930542,0,-670.532768720872,4318.84773739154
"49",241,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,10,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.0999999999999,23.077,36.24,0.272,"Reanalysis",1384.72216796875,1.37202680110931,0,-670.204624712994,4321.08044223866
"50",242,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,10,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.0999999999999,23.335,36.261,0.279,"Reanalysis",1767.798828125,0.85847806930542,0,-667.891779775264,4318.46012543178
"51",243,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,10,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.0999999999999,23.335,36.261,0.279,"Reanalysis",1767.798828125,0.85847806930542,0,-666.131158619173,4318.202225538
"52",244,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,9,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12,23.001,36.251,0.262,"Reanalysis",852.186218261719,1.08993887901306,0,-560.228086310773,4319.31485485103
"53",245,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,9,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12,23.001,36.251,0.262,"Reanalysis",852.186218261719,1.08993887901306,0,-561.10574165761,4319.43196224706
"54",247,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,11,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,13.1999999999998,23.114,36.218,0.27,"Reanalysis",1424.77954101562,1.3343653678894,0,-715.417409433559,4372.44366499327
"55",248,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,10,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,11.8999999999996,23.676,36.282,0.279,"Reanalysis",1790.76062011719,0.446492165327072,0,-656.934059178203,4313.44237992474
"56",249,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,10,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,11.8999999999996,23.676,36.282,0.279,"Reanalysis",1790.76062011719,0.446492165327072,0,-654.615181524983,4310.82730636819
"57",250,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,10,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,11.8999999999996,23.676,36.282,0.279,"Reanalysis",1790.76062011719,0.446492165327072,0,-653.497883199827,4306.10788499064
"58",251,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,10,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,11.8999999999996,23.676,36.282,0.279,"Reanalysis",1773.44091796875,0.801110684871674,0,-643.643998443256,4305.83162507692
"59",252,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,6,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12,23.217,36.251,0.268,"Reanalysis",1573.18493652344,0.722865700721741,0,-576.932534740297,4314.74637240775
"60",253,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,6,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12,23.217,36.251,0.268,"Reanalysis",1573.18493652344,0.722865700721741,0,-577.358047101442,4318.21119271679
"61",254,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,6,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12,23.217,36.251,0.268,"Reanalysis",1573.18493652344,0.722865700721741,0,-576.479883425061,4318.09230192478
"62",255,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,6,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12,23.217,36.251,0.268,"Reanalysis",1573.18493652344,0.722865700721741,0,-579.746476834594,4307.17666206448
"63",256,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,6,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12,23.217,36.251,0.268,"Reanalysis",1573.18493652344,0.722865700721741,0,-578.112942939468,4312.63456393871
"64",257,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,6,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.1999999999998,22.847,36.263,0.265,"Reanalysis",1431.66223144531,0.786610126495361,0,-573.160481933919,4302.88228945575
"65",258,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,6,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.0999999999999,23.045,36.261,0.273,"Reanalysis",1613.12451171875,0.359275579452515,0,-574.770031135514,4304.23408142814
"66",259,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,6,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.0999999999999,23.045,36.261,0.273,"Reanalysis",1613.12451171875,0.359275579452515,0,-575.499520312991,4305.46781448297
"67",260,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,6,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12,23.217,36.251,0.268,"Reanalysis",1132.79284667969,1.02637231349945,0,-576.904721293314,4321.55708612644
"68",261,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,6,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12,23.217,36.251,0.268,"Reanalysis",1132.79284667969,1.02637231349945,0,-574.394257572056,4326.89561285143
"69",263,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,6,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12,23.217,36.251,0.268,"Reanalysis",1132.79284667969,1.02637231349945,0,-576.177954223049,4320.32288673499
"70",264,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,6,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12,23.217,36.251,0.268,"Reanalysis",1132.79284667969,1.02637231349945,0,-577.933777253544,4320.56080453551
"71",265,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.5,22.857,36.276,0.254,"Reanalysis",2171.9287109375,0.978676497936249,0,-553.336429856418,4262.8129666335
"72",266,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.3999999999996,22.957,36.271,0.264,"Reanalysis",2227.275390625,0.977908194065094,0,-563.351202045121,4261.85330970463
"73",267,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,6,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.1999999999998,22.847,36.263,0.265,"Reanalysis",1431.66223144531,0.786610126495361,0,-572.297317095228,4295.95422173451
"74",268,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,6,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.1999999999998,22.847,36.263,0.265,"Reanalysis",1431.66223144531,0.786610126495361,0,-572.729422879732,4299.418208967
"75",269,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.3999999999996,22.957,36.271,0.264,"Reanalysis",2227.275390625,0.977908194065094,0,-560.705174543496,4268.3135811837
"76",270,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.5,22.857,36.276,0.254,"Reanalysis",2171.9287109375,0.978676497936249,0,-550.105886949359,4266.92941534009
"77",271,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.3999999999996,22.957,36.271,0.264,"Reanalysis",2227.275390625,0.977908194065094,0,-563.058204566214,4264.0841251595
"78",272,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.5,22.857,36.276,0.254,"Reanalysis",2171.9287109375,0.978676497936249,0,-552.307645326235,4263.81329219977
"79",273,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.5,22.857,36.276,0.254,"Reanalysis",2171.9287109375,0.978676497936249,0,-549.222660866264,4266.81471840319
"81",276,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",2012,4,6,"Physeter macrocephalus","Physeteridae",0,"2012-04-01",0,47.1999999999998,16.823,36.328,0.182,"Reanalysis",4148.4404296875,0.363553404808044,0,-149.205412678827,4118.68984979052
"82",298,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.3999999999996,22.957,36.271,0.264,"Reanalysis",2227.275390625,0.977908194065094,0,-558.938552753109,4268.08188618605
"83",299,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.5,22.857,36.276,0.254,"Reanalysis",2171.9287109375,0.978676497936249,0,-555.997064408473,4269.9656997405
"84",300,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.3999999999996,22.957,36.271,0.264,"Reanalysis",2171.9287109375,0.978676497936249,0,-556.142885864775,4268.85040031974
"85",301,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.3999999999996,22.957,36.271,0.264,"Reanalysis",2227.275390625,0.977908194065094,0,-558.055252960125,4267.96618883469
"86",302,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.5,22.857,36.276,0.254,"Reanalysis",2171.9287109375,0.978676497936249,0,-554.822554172746,4272.08084472467
"87",303,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.3999999999996,22.957,36.271,0.264,"Reanalysis",2227.275390625,0.977908194065094,0,-556.734117008035,4271.19651774743
"88",304,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.2999999999997,22.838,36.264,0.251,"Reanalysis",1957.64208984375,1.12685251235962,0,-548.364937920861,4280.31188207101
"89",305,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.2999999999997,22.838,36.264,0.251,"Reanalysis",1957.64208984375,1.12685251235962,0,-549.246654238712,4280.42678935416
"90",306,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.2999999999997,22.838,36.264,0.251,"Reanalysis",1957.64208984375,1.12685251235962,0,-550.128377762441,4280.54179672321
"91",307,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.2999999999997,22.838,36.264,0.251,"Reanalysis",1957.64208984375,1.12685251235962,0,-551.89184644797,4280.77211175767
"92",308,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.2999999999997,22.838,36.264,0.251,"Reanalysis",1957.64208984375,1.12685251235962,0,-547.047661488026,4283.54251973628
"93",309,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.2999999999997,22.838,36.264,0.251,"Reanalysis",1745.97924804688,0.830173313617706,0,-542.496503280131,4284.08493884434
"94",310,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.2999999999997,22.838,36.264,0.251,"Reanalysis",1957.64208984375,1.12685251235962,0,-547.192882095086,4282.42737785842
"95",311,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.2999999999997,22.838,36.264,0.251,"Reanalysis",1957.64208984375,1.12685251235962,0,-544.113940705134,4285.42882715488
"96",312,"CC_BY_NC_4_0","OBIS-SEAMAP","Visual sightings from Song of the Whale 1993-2013",1993,8,5,"Physeter macrocephalus","Physeteridae",0,"1993-08-01",0,12.2999999999997,22.838,36.264,0.251,"Reanalysis",1957.64208984375,1.12685251235962,0,-546.902409385629,4284.65765520068
